year,drought_deaths,n_affected_drought,drought_costs,eq_deaths,n_affected_eq,eq_costs,volc_deaths,n_affected_volc,volc_costs,flood_deaths,n_affected_flood,flood_costs,mass_movement_deaths,n_affected_mass_movement,mass_movement_costs,storm_deaths,n_affected_storm,storm_costs,landslide_deaths,n_affected_landslide,landslide_costs,fog_deaths,n_affected_fog,fog_costs,wildfire_deaths,n_affected_wildfire,wildfire_costs,ext_temp_deaths,n_affected_ext_temp,ext_temp_costs,glacial_outburst_deaths,n_affected_glacial_outburst,glacial_outburst_costs
1994,0.0,380060000.0,55580800000.0,4968.0,2870900.0,121690704000.0,404.0,745600.0,440000000.0,27167.0,490193597.0,92245424000.0,0,0,0,16983.0,140359940.0,22620568000.0,1210.0,1083948.0,249200000.0,0,0,0,357.0,12281600.0,608000000.0,1364.0,4432000.0,1900000000.0,0,0,0
1995,0.0,43487976.0,451200000.0,31010.0,6130998.0,406020240000.0,0,73480.0,2888000.0,31796.0,762590664.0,109726776000.0,0,0,0,15078.0,51038216.0,101296936000.0,6084.0,62312.0,145156000.0,0,0,0,116.0,37140.0,538000000.0,6950.0,2140000.0,4161500000.0,0,0,0
1996,0,19768000.0,6969600000.0,2304.0,14327420.0,2289600000.0,16.0,26172.0,66000000.0,32221.0,709645590.0,114656600000.0,0,0,0,18327.0,110542240.0,43098072000.0,4704.0,32800.0,100000000.0,0,0,0,180.0,22000.0,6851200000.0,1216.0,0,0,0,0,0
1997,2928.0,27893200.0,6880400000.0,12170.0,3752020.0,24277272000.0,212.0,28000.0,32000000.0,30858.0,174431069.0,77760732000.0,0,0,0,24667.0,51040962.0,30168280000.0,3233.0,126108.0,81500000.0,0,0,0,1064.0,213850.0,33236800000.0,2519.0,2858720.0,132000000.0,0,0,0
1998,80.0,56217340.0,2052800000.0,38302.0,13657836.0,4952400000.0,0,31232.0,0,42716.0,1102169570.0,176503604000.0,0,0,0,99751.0,79316994.0,132111574000.0,4733.0,830235.0,3703500000.0,0,0,0,614.0,661128.0,11181940000.0,13285.0,146000.0,17100000000.0,0,0,0
1999,1528.0,409350180.0,40588000000.0,87619.0,21578995.0,171097576000.0,0,123380.0,0,109302.0,580629076.0,60717608000.0,0,0,0,49270.0,98666900.0,190537817000.0,1847.0,51800.0,3060500000.0,0,0,0,280.0,31200.0,1962544000.0,3270.0,2900000.0,4000000000.0,0,0,0
2000,236.0,312101660.0,15120660000.0,868.0,8378512.0,3099612000.0,0,506504.0,8856000.0,24171.0,292529936.0,111574508000.0,44.0,0,0,5453.0,58746584.0,51918320000.0,4051.0,266540.0,1848000000.0,0,0,0,211.0,146400.0,10271002000.0,3902.0,103908.0,1723686000.0,0,0,0
2001,432.0,130324616.0,145600000.0,85392.0,29154720.0,29452200000.0,0,441964.0,69720000.0,19988.0,136917379.0,20088798000.0,0,0,0,7676.0,125568868.0,58727048000.0,3144.0,139900.0,282400000.0,0,0,0,132.0,22916.0,360000000.0,7550.0,843400.0,800440000.0,0,0,0
2002,2316.0,1507827740.0,31485900000.0,6587.0,3145802.0,9566856000.0,800.0,671800.0,36000000.0,16802.0,671070928.0,123892257000.0,240.0,0,0,5582.0,444448350.0,61330558000.0,4400.0,1068336.0,770000000.0,0,0,0,24.0,81288.0,1448400000.0,13669.0,400800.0,0,0,0,0
2003,36.0,270928300.0,3194000000.0,118468.0,14023534.0,33572756000.0,0,100000.0,0,15655.0,670083070.0,86367592000.0,0,0,0,4224.0,42358892.0,85747210000.0,2824.0,1830748.0,207844000.0,0,0,0,212.0,884000.0,26130000000.0,369677.0,7359552.0,61920000000.0,0,0,0
